Job Title,Salary,Job Type,Location,Company Name,Date Posted,Reviews,Job URL,Listing URL
Restaurant Team Member - Crew (3736 - South Surrey),$19.57 an hour,Part-time Casual,"Surrey, BC",Chipotle,Today,"15,032 reviews",,https://ca.indeed.com/rc/clk?jk=50b85b616e0ee28c&fccid=8e9ae7de18dcd13e&vjs=3
Restaurant Team Member - Crew (3736 - South Surrey),$19.57 an hour,Part-time Casual,"Surrey, BC",Chipotle,Today,"15,032 reviews",,https://ca.indeed.com/rc/clk?jk=50b85b616e0ee28c&fccid=8e9ae7de18dcd13e&vjs=3
Restaurant Team Member - Crew (3736 - South Surrey),$19.57 an hour,Part-time Casual,"Surrey, BC",Chipotle,Today,"15,032 reviews",,https://ca.indeed.com/rc/clk?jk=50b85b616e0ee28c&fccid=8e9ae7de18dcd13e&vjs=3
,$19.57 an hour,Part-time Casual,"Surrey, BC",Chipotle,Today,"15,032 reviews",,https://ca.indeed.com/Chipotle-jobs
,$19.57 an hour,Part-time Casual,"Surrey, BC",Chipotle,Today,"15,032 reviews",,https://ca.indeed.com/career/restaurant-staff/salaries/Surrey--BC?campaignid=serp-more&fromjk=50b85b616e0ee28c&from=serp-more
,$19.57 an hour,Part-time Casual,"Surrey, BC",Chipotle,Today,"15,032 reviews",,https://ca.indeed.com/cmp/Chipotle-Mexican-Grill/faq
Part Time Sales Advisor - Weekday availability required,$19.57 an hour,Part-time Casual,"Surrey, BC",H&M,Today,"9,959 reviews",,https://ca.indeed.com/rc/clk?jk=df19d32dacd77d9d&fccid=7c13ea7d2941e927&vjs=3
Part Time Sales Advisor - Weekday availability required,$19.57 an hour,Part-time Casual,"Surrey, BC",H&M,Today,"9,959 reviews",,https://ca.indeed.com/rc/clk?jk=df19d32dacd77d9d&fccid=7c13ea7d2941e927&vjs=3
Part Time Sales Advisor - Weekday availability required,$19.57 an hour,Part-time Casual,"Surrey, BC",H&M,Today,"9,959 reviews",,https://ca.indeed.com/rc/clk?jk=df19d32dacd77d9d&fccid=7c13ea7d2941e927&vjs=3
,$19.57 an hour,Part-time Casual,"Surrey, BC",H&M,Today,"9,959 reviews",,https://ca.indeed.com/H&M-jobs
,$19.57 an hour,Part-time Casual,"Surrey, BC",H&M,Today,"9,959 reviews",,https://ca.indeed.com/career/sales-advisor/salaries/Surrey--BC?campaignid=serp-more&fromjk=df19d32dacd77d9d&from=serp-more
,$19.57 an hour,Part-time Casual,"Surrey, BC",H&M,Today,"9,959 reviews",,https://ca.indeed.com/cmp/H&M/faq
,$19.57 an hour,Part-time Casual,"Surrey, BC",H&M,Today,"9,959 reviews",,https://ca.indeed.com/cmp/H&M/faq
"Customer Experience Associate Part Time - Redwood Square, Su...",$19.57 an hour,Part-time Casual,"Surrey, BC",Scotiabank,Today,"5,097 reviews",,https://ca.indeed.com/rc/clk?jk=bfc9e41b44c9f59c&fccid=3002307a9e5b4706&vjs=3
"Customer Experience Associate Part Time - Redwood Square, Su...",$19.57 an hour,Part-time Casual,"Surrey, BC",Scotiabank,Today,"5,097 reviews",,https://ca.indeed.com/rc/clk?jk=bfc9e41b44c9f59c&fccid=3002307a9e5b4706&vjs=3
"Customer Experience Associate Part Time - Redwood Square, Su...",$19.57 an hour,Part-time Casual,"Surrey, BC",Scotiabank,Today,"5,097 reviews",,https://ca.indeed.com/rc/clk?jk=bfc9e41b44c9f59c&fccid=3002307a9e5b4706&vjs=3
,$19.57 an hour,Part-time Casual,"Surrey, BC",Scotiabank,Today,"5,097 reviews",,https://ca.indeed.com/Scotiabank-jobs
,$19.57 an hour,Part-time Casual,"Surrey, BC",Scotiabank,Today,"5,097 reviews",,https://ca.indeed.com/career/customer-service-representative/salaries/Surrey--BC?campaignid=serp-more&fromjk=bfc9e41b44c9f59c&from=serp-more
,$19.57 an hour,Part-time Casual,"Surrey, BC",Scotiabank,Today,"5,097 reviews",,https://ca.indeed.com/cmp/Scotiabank/faq
Community Patrol Officer,$19.57 an hour,Part-time Casual,"Surrey, BC",City of Surrey,Today,105 reviews,,https://ca.indeed.com/rc/clk?jk=6eb7e95c9d201ced&fccid=65290de03369b09d&vjs=3
Community Patrol Officer,$19.57 an hour,Part-time Casual,"Surrey, BC",City of Surrey,Today,105 reviews,,https://ca.indeed.com/rc/clk?jk=6eb7e95c9d201ced&fccid=65290de03369b09d&vjs=3
Community Patrol Officer,$19.57 an hour,Part-time Casual,"Surrey, BC",City of Surrey,Today,105 reviews,,https://ca.indeed.com/rc/clk?jk=6eb7e95c9d201ced&fccid=65290de03369b09d&vjs=3
,$19.57 an hour,Part-time Casual,"Surrey, BC",City of Surrey,Today,105 reviews,,https://ca.indeed.com/City-of-Surrey-jobs
,$19.57 an hour,Part-time Casual,"Surrey, BC",City of Surrey,Today,105 reviews,,https://ca.indeed.com/career/patrol-officer/salaries/Surrey--BC?campaignid=serp-more&fromjk=6eb7e95c9d201ced&from=serp-more
,$19.57 an hour,Part-time Casual,"Surrey, BC",City of Surrey,Today,105 reviews,,https://ca.indeed.com/cmp/City-of-Surrey/faq
Seasonal Delivery Warehouse Team Member (Full Time),$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Langley, BC",Amazon.com,Today,"88,339 reviews",,https://ca.indeed.com/rc/clk?jk=efac0eae9a4c42d3&fccid=fe2d21eef233e94a&vjs=3
Seasonal Delivery Warehouse Team Member (Full Time),$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Langley, BC",Amazon.com,Today,"88,339 reviews",,https://ca.indeed.com/rc/clk?jk=efac0eae9a4c42d3&fccid=fe2d21eef233e94a&vjs=3
,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Langley, BC",Amazon.com,Today,"88,339 reviews",,https://ca.indeed.com/Amazon.com-jobs
,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Langley, BC",Amazon.com,Today,"88,339 reviews",,https://ca.indeed.com/career/seasonal-associate/salaries/Langley--BC?campaignid=serp-more&fromjk=efac0eae9a4c42d3&from=serp-more
,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Langley, BC",Amazon.com,Today,"88,339 reviews",,https://ca.indeed.com/cmp/Amazon.com/faq
Banking Advisor Intern,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",Royal Bank of Canada,Today,"4,447 reviews",,https://ca.indeed.com/rc/clk?jk=75d6ea4e05ceb264&fccid=537b899e30af3338&vjs=3
Banking Advisor Intern,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",Royal Bank of Canada,Today,"4,447 reviews",,https://ca.indeed.com/rc/clk?jk=75d6ea4e05ceb264&fccid=537b899e30af3338&vjs=3
,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",Royal Bank of Canada,Today,"4,447 reviews",,https://ca.indeed.com/Royal-Bank-of-Canada-jobs
,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",Royal Bank of Canada,Today,"4,447 reviews",,"https://ca.indeed.com/career/salaries/Banking%20Advisor/Surrey,%20BC?campaignid=serp-more&fromjk=75d6ea4e05ceb264&from=serp-more"
,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",Royal Bank of Canada,Today,"4,447 reviews",,https://ca.indeed.com/cmp/Rbc/faq
Customer Experience Associate,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",TD Bank,Today,"8,339 reviews",,https://ca.indeed.com/rc/clk?jk=7ded87dc765f8530&fccid=d7114f1cac8d0711&vjs=3
Customer Experience Associate,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",TD Bank,Today,"8,339 reviews",,https://ca.indeed.com/rc/clk?jk=7ded87dc765f8530&fccid=d7114f1cac8d0711&vjs=3
,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",TD Bank,Today,"8,339 reviews",,https://ca.indeed.com/Td-Bank-jobs
,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",TD Bank,Today,"8,339 reviews",,https://ca.indeed.com/career/customer-service-representative/salaries/Surrey--BC?campaignid=serp-more&fromjk=7ded87dc765f8530&from=serp-more
,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",TD Bank,Today,"8,339 reviews",,https://ca.indeed.com/cmp/Td-Bank/faq
,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",TD Bank,Today,"8,339 reviews",,https://ca.indeed.com/cmp/Td-Bank/faq
FlyClear Customer Service representative (REMOTE) - Temporar...,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",LifeLabs,Today,412 reviews,,https://ca.indeed.com/rc/clk?jk=92687e7270ecc913&fccid=0530193efcb7d8ff&vjs=3
FlyClear Customer Service representative (REMOTE) - Temporar...,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",LifeLabs,Today,412 reviews,,https://ca.indeed.com/rc/clk?jk=92687e7270ecc913&fccid=0530193efcb7d8ff&vjs=3
,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",LifeLabs,Today,412 reviews,,https://ca.indeed.com/Lifelabs-jobs
,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",LifeLabs,Today,412 reviews,,https://ca.indeed.com/career/customer-service-representative/salaries/Surrey--BC?campaignid=serp-more&fromjk=92687e7270ecc913&from=serp-more
,$17.40–$18.90 an hour,Full-time Part-time Seasonal,"Surrey, BC",LifeLabs,Today,412 reviews,,https://ca.indeed.com/cmp/Lifelabs/faq
Customer Care Agent,$24.48 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/rc/clk?jk=b6f3580a843c58d7&fccid=3978229785e77296&vjs=3
Customer Care Agent,$24.48 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/rc/clk?jk=b6f3580a843c58d7&fccid=3978229785e77296&vjs=3
,$24.48 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/Worksafebc-jobs
,$24.48 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/career/customer-care-specialist/salaries/Richmond--BC?campaignid=serp-more&fromjk=b6f3580a843c58d7&from=serp-more
,$24.48 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/cmp/Worksafebc/faq
Administrative Assistant - Canada,$24.48 an hour,Full-time Part-time,"Surrey, BC","7-Eleven, Inc.",Today,"14,524 reviews",,https://ca.indeed.com/rc/clk?jk=4d52c7f4f2cefeb9&fccid=e22ec123cbb88199&vjs=3
Administrative Assistant - Canada,$24.48 an hour,Full-time Part-time,"Surrey, BC","7-Eleven, Inc.",Today,"14,524 reviews",,https://ca.indeed.com/rc/clk?jk=4d52c7f4f2cefeb9&fccid=e22ec123cbb88199&vjs=3
Administrative Assistant - Canada,$24.48 an hour,Full-time Part-time,"Surrey, BC","7-Eleven, Inc.",Today,"14,524 reviews",,https://ca.indeed.com/rc/clk?jk=4d52c7f4f2cefeb9&fccid=e22ec123cbb88199&vjs=3
,$24.48 an hour,Full-time Part-time,"Surrey, BC","7-Eleven, Inc.",Today,"14,524 reviews",,"https://ca.indeed.com/jobs?q=7-eleven,+Inc."
,$24.48 an hour,Full-time Part-time,"Surrey, BC","7-Eleven, Inc.",Today,"14,524 reviews",,https://ca.indeed.com/career/administrative-assistant/salaries/Surrey--BC?campaignid=serp-more&fromjk=4d52c7f4f2cefeb9&from=serp-more
,$24.48 an hour,Full-time Part-time,"Surrey, BC","7-Eleven, Inc.",Today,"14,524 reviews",,https://ca.indeed.com/cmp/7--eleven/faq
Purchasing Assistant,$27.09–$31.30 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/rc/clk?jk=91d85f2ce4b2d7db&fccid=3978229785e77296&vjs=3
Purchasing Assistant,$27.09–$31.30 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/rc/clk?jk=91d85f2ce4b2d7db&fccid=3978229785e77296&vjs=3
,$27.09–$31.30 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/Worksafebc-jobs
,$27.09–$31.30 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/career/purchasing-assistant/salaries/Richmond--BC?campaignid=serp-more&fromjk=91d85f2ce4b2d7db&from=serp-more
,$27.09–$31.30 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/cmp/Worksafebc/faq
Prevention Information Asst,$24.48 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/rc/clk?jk=873f3f2736b5f8e2&fccid=3978229785e77296&vjs=3
Prevention Information Asst,$24.48 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/rc/clk?jk=873f3f2736b5f8e2&fccid=3978229785e77296&vjs=3
,$24.48 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/Worksafebc-jobs
,$24.48 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/career/assistant/salaries/Richmond--BC?campaignid=serp-more&fromjk=873f3f2736b5f8e2&from=serp-more
,$24.48 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/cmp/Worksafebc/faq
,$24.48 an hour,Full-time Part-time,"Richmond, BC",WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/cmp/Worksafebc/faq
Restaurant Team Member - Crew (3736 - South Surrey),,,"Surrey, BC",Chipotle,Today,"15,032 reviews",,https://ca.indeed.com/rc/clk?jk=50b85b616e0ee28c&fccid=8e9ae7de18dcd13e&vjs=3
Restaurant Team Member - Crew (3736 - South Surrey),,,"Surrey, BC",Chipotle,Today,"15,032 reviews",,https://ca.indeed.com/rc/clk?jk=50b85b616e0ee28c&fccid=8e9ae7de18dcd13e&vjs=3
Restaurant Team Member - Crew (3736 - South Surrey),,,"Surrey, BC",Chipotle,Today,"15,032 reviews",,https://ca.indeed.com/rc/clk?jk=50b85b616e0ee28c&fccid=8e9ae7de18dcd13e&vjs=3
Restaurant Team Member - Crew (3736 - South Surrey),,,"Surrey, BC",Chipotle,Today,"15,032 reviews",,https://ca.indeed.com/rc/clk?jk=50b85b616e0ee28c&fccid=8e9ae7de18dcd13e&vjs=3
,,,"Surrey, BC",Chipotle,Today,"15,032 reviews",,https://ca.indeed.com/Chipotle-jobs
,,,"Surrey, BC",Chipotle,Today,"15,032 reviews",,https://ca.indeed.com/career/restaurant-staff/salaries/Surrey--BC?campaignid=serp-more&fromjk=50b85b616e0ee28c&from=serp-more
,,,"Surrey, BC",Chipotle,Today,"15,032 reviews",,https://ca.indeed.com/cmp/Chipotle-Mexican-Grill/faq
"Customer Experience Associate, Part-Time - North Road & Aust...",,,"Coquitlam, BC",Scotiabank,Today,"5,097 reviews",,https://ca.indeed.com/rc/clk?jk=0ac7d8b6c0b3b747&fccid=3002307a9e5b4706&vjs=3
"Customer Experience Associate, Part-Time - North Road & Aust...",,,"Coquitlam, BC",Scotiabank,Today,"5,097 reviews",,https://ca.indeed.com/rc/clk?jk=0ac7d8b6c0b3b747&fccid=3002307a9e5b4706&vjs=3
"Customer Experience Associate, Part-Time - North Road & Aust...",,,"Coquitlam, BC",Scotiabank,Today,"5,097 reviews",,https://ca.indeed.com/rc/clk?jk=0ac7d8b6c0b3b747&fccid=3002307a9e5b4706&vjs=3
,,,"Coquitlam, BC",Scotiabank,Today,"5,097 reviews",,https://ca.indeed.com/Scotiabank-jobs
,,,"Coquitlam, BC",Scotiabank,Today,"5,097 reviews",,https://ca.indeed.com/career/customer-service-representative/salaries/Coquitlam--BC?campaignid=serp-more&fromjk=0ac7d8b6c0b3b747&from=serp-more
,,,"Coquitlam, BC",Scotiabank,Today,"5,097 reviews",,https://ca.indeed.com/cmp/Scotiabank/faq
Full-Time Warehouse Order Picker,$22.92 an hour,Full-time,"Surrey, BC",PepsiCo,Today,"17,351 reviews",,https://ca.indeed.com/rc/clk?jk=ce456ef7c4581002&fccid=2973259ddc967948&vjs=3
Full-Time Warehouse Order Picker,$22.92 an hour,Full-time,"Surrey, BC",PepsiCo,Today,"17,351 reviews",,https://ca.indeed.com/rc/clk?jk=ce456ef7c4581002&fccid=2973259ddc967948&vjs=3
,$22.92 an hour,Full-time,"Surrey, BC",PepsiCo,Today,"17,351 reviews",,https://ca.indeed.com/PepsiCo-jobs
,$22.92 an hour,Full-time,"Surrey, BC",PepsiCo,Today,"17,351 reviews",,https://ca.indeed.com/career/order-picker/salaries/Surrey--BC?campaignid=serp-more&fromjk=ce456ef7c4581002&from=serp-more
,$22.92 an hour,Full-time,"Surrey, BC",PepsiCo,Today,"17,351 reviews",,https://ca.indeed.com/cmp/PepsiCo/faq
Administrative Assistant I,,Full-time Part-time Remote,,WorkSafeBC,Today,65 reviews,,https://ca.indeed.com/rc/clk?jk=6e4c7ad5da6b94dc&fccid=3978229785e77296&vjs=3
